challenge_hex,trial,response_hex,response_bin64
A2E9A742,0,9148B4829C42488A,1001000101001000101101001000001010011100010000100100100010001010
A2E9A742,1,9149B4829C424882,1001000101001001101101001000001010011100010000100100100010000010
A2E9A742,2,9148B4829C424882,1001000101001000101101001000001010011100010000100100100010000010
A2E9A742,3,9140B4829C424882,1001000101000000101101001000001010011100010000100100100010000010
A2E9A742,4,9148B4829C424882,1001000101001000101101001000001010011100010000100100100010000010
A2E9A742,5,9148B4829C424882,1001000101001000101101001000001010011100010000100100100010000010
A2E9A742,6,9148B4829C424882,1001000101001000101101001000001010011100010000100100100010000010
A2E9A742,7,9148B4829C424882,1001000101001000101101001000001010011100010000100100100010000010
A2E9A742,8,9148B4829C42488A,1001000101001000101101001000001010011100010000100100100010001010
A2E9A742,9,9148B4C29C424882,1001000101001000101101001100001010011100010000100100100010000010
736D8D36,0,8071283295F1E405,1000000001110001001010000011001010010101111100011110010000000101
736D8D36,1,8071283A95F1E005,1000000001110001001010000011101010010101111100011110000000000101
736D8D36,2,8071283A95F1E005,1000000001110001001010000011101010010101111100011110000000000101
736D8D36,3,8071283A95F1E005,1000000001110001001010000011101010010101111100011110000000000101
736D8D36,4,8071283A95F1E005,1000000001110001001010000011101010010101111100011110000000000101
736D8D36,5,8071283A95F1E005,1000000001110001001010000011101010010101111100011110000000000101
736D8D36,6,8071283A95F1E005,1000000001110001001010000011101010010101111100011110000000000101
736D8D36,7,8071283A95F1E005,1000000001110001001010000011101010010101111100011110000000000101
736D8D36,8,8071283A95F1E005,1000000001110001001010000011101010010101111100011110000000000101
736D8D36,9,8071283A95F1E005,1000000001110001001010000011101010010101111100011110000000000101
E1806916,0,FAA031F545C0F489,1111101010100000001100011111010101000101110000001111010010001001
E1806916,1,FAA031F545C0B489,1111101010100000001100011111010101000101110000001011010010001001
E1806916,2,FAA031F545C0B489,1111101010100000001100011111010101000101110000001011010010001001
E1806916,3,FAA431F545C0B589,1111101010100100001100011111010101000101110000001011010110001001
E1806916,4,FAA031F545C0F489,1111101010100000001100011111010101000101110000001111010010001001
E1806916,5,FAA031F545C0B489,1111101010100000001100011111010101000101110000001011010010001001
E1806916,6,FAA031D545C0B489,1111101010100000001100011101010101000101110000001011010010001001
E1806916,7,FAA031F545C0B489,1111101010100000001100011111010101000101110000001011010010001001
E1806916,8,FAA031F545C0B489,1111101010100000001100011111010101000101110000001011010010001001
E1806916,9,FAA031D545C0B489,1111101010100000001100011101010101000101110000001011010010001001
212DEAFD,0,C0A47D4AE03C757D,1100000010100100011111010100101011100000001111000111010101111101
